88,480201,จันทบุรี,ตะเคียนทอง,กิ่ง อ. เขาคิชฌกู,จันทบุรี,12.61,102.10,100.00,0.00
89,478201,ระยอง,ชุมแสง,วังจันทร์,ระยอง,12.63,101.34,100.00,0.00
90,459204,สัตหีบ,พลูตาหลวง,สัตหีบ,ชลบุรี,12.69,100.98,100.00,0.00
91,478301,ห้วยโป่ง (1),ห้วยโป่ง,เมืองระยอง,ระยอง,12.74,101.14,100.00,0.00
92,459203,พัทยา,บางละมุง,บางละมุง,ชลบุรี,12.92,100.87,100.00,0.00
93,459205,แหลมฉบัง,ทุ่งสุขลา,ศรีราชา,ชลบุรี,13.08,100.87,100.00,0.00
94,459202,เกาะสีชัง,ท่าเทววงศ์,เกาะสีชัง,ชลบุรี,13.16,100.80,100.00,0.00
95,459201,ชลบุรี,หนองซ้ำซาก,บ้านบึง,ชลบุรี,13.36,100.98,100.00,0.00
96,500202,หัวหิน,หนองพลับ,หัวหิน,ประจวบคีรีขันธ์,12.58,99.95,100.00,0.00
97,465201,เพชรบุรี,ช่องสะแก,เมืองเพชรบุรี,เพชรบุรี,13.00,100.06,100.00,0.00
98,500201,ประจวบคีรีขันธ์,อ่าวน้อย,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83,99.81,100.00,0.00
99,500301,หนองพลับ (1),นาพันสาม,เมืองเพชรบุรี,เพชรบุรี,12.59,99.73,100.00,0.00
100,583201,นราธิวาส,บองอ,ระแงะ,นราธิวาส,6.43,101.83,100.00,0.00
101,580201,ปัตตานี,เกาะจัน,มายอ,ปัตตานี,6.79,101.15,100.00,0.00
102,552301,นครศรีธรรมราช (1),ปากพนังฝั่งตะวันตก,ปากพนัง,นครศรีธรรมราช,8.36,100.06,100.00,0.00
103,552201,นครศรีธรรมราช,ขุนทะเล,ลานสะกา,นครศรีธรรมราช,8.55,99.94,100.00,0.00
104,551301,สุราษฎร์ธานี,อรัญคามวารี,เคียนซา,สุราษฎร์ธานี,9.14,99.63,100.00,0.00
105,551203,เกาะสมุย,มะเร็ต,เกาะสมุย,สุราษฎร์ธานี,9.45,100.03,100.00,0.00
106,517301,สวี (1),สวี,สวี,ชุมพร,10.33,99.09,100.00,0.00
107,517201,ชุมพร,ท่ายาง,เมืองชุมพร,ชุมพร,10.50,99.19,100.00,0.00
108,552401,ฉวาง (2),สวนขัน,กิ่ง อ. ช้างกลาง,นครศรีธรรมราช,8.43,99.50,100.00,0.00
109,551401,พระแสง (2),ไทรขึง,พระแสง,สุราษฎร์ธานี,8.57,99.26,100.00,0.00
110,552202,ขนอม,ขุนทะเล,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,8.99,99.35,100.00,0.00
111,551201,สุราษฎร์ธานี,กะเปา,คีรีรัฐนิคม,สุราษฎร์ธานี,9.13,99.15,100.00,0.00
112,551202,สุราษฎร์ธานี,กะเปา,คีรีรัฐนิคม,สุราษฎร์ธานี,9.30,98.91,100.00,0.00
113,568401,สะเดา (2),สะเดา,สะเดา,สงขลา,6.79,100.41,100.00,0.00
114,568502,หาดใหญ่,คอหงส์,หาดใหญ่,สงขลา,6.94,100.40,100.00,0.00
115,568301,คอหงษ์ (1),คอหงส์,หาดใหญ่,สงขลา,7.02,100.50,100.00,0.00
116,568501,สงขลา,เกาะแต้ว,เมืองสงขลา,สงขลา,7.18,100.60,100.00,0.00
117,560301,พัทลุง,อ่างทอง,เมืองพัทลุง,พัทลุง,7.58,100.16,100.00,0.00
118,581301,ยะลา,บันนังสตา,บันนังสตา,ยะลา,6.52,101.27,100.00,0.00
119,570201,สตูล,ควนกาหลง,ควนกาหลง,สตูล,6.65,100.08,100.00,0.00
120,567201,ตรัง,บางหมาก,กันตัง,ตรัง,7.51,99.62,100.00,0.00
121,566201,เกาะลันตา,เกาะลันตาน้อย,เกาะลันตา,กระบี่,7.54,99.05,100.00,0.00
122,564201,ภูเก็ต,วิชิต,เมืองภูเก็ต,ภูเก็ต,7.88,98.39,100.00,0.00
123,566202,กระบี่,เขาพนม,เขาพนม,กระบี่,8.10,98.98,100.00,0.00
124,564202,สนามบินภูเก็ต,ป่าคลอก,ถลาง,ภูเก็ต,8.10,98.31,100.00,0.00
125,561201,ตะกั่วป่า,เหมาะ,กะปง,พังงา,8.68,98.25,100.00,0.00
126,532201,ระนอง,ละอุ่นเหนือ,ละอุ่น,ระนอง,9.95,98.63,100.00,0.00
