"","station_id","station_name","sub_district","district","province","latitude","longitude","f1_score","rmse"
"92",480201,"จันทบุรี","ตะเคียนทอง","กิ่ง อ. เขาคิชฌกู","จันทบุรี",12.61,102.1,80.4920041123457,17.2030763311501
"93",480301,"พลิ้ว","คมบาง","เมืองจันทบุรี","จันทบุรี",12.51,102.17,80.3704299004116,18.3732684265691
"94",500201,"ประจวบคีรีขันธ์","อ่าวน้อย","เมืองประจวบคีรีขันธ์","ประจวบคีรีขันธ์",11.83,99.81,68.9154408635194,9.5964398608688
"95",500202,"หัวหิน","หนองพลับ","หัวหิน","ประจวบคีรีขันธ์",12.58,99.95,64.630430579466,9.31918453010572
"96",500301,"หนองพลับ (1)","นาพันสาม","เมืองเพชรบุรี","เพชรบุรี",12.59,99.73,68.1372275393825,8.82988334022438
"97",501201,"คลองใหญ่","ไม้รูด","คลองใหญ่","ตราด",11.78,102.88,81.1484833934256,25.2859594540428
"98",517201,"ชุมพร","ท่ายาง","เมืองชุมพร","ชุมพร",10.5,99.19,73.580613073066,11.8733414330295
"99",517301,"สวี (1)","สวี","สวี","ชุมพร",10.33,99.09,75.027452710046,11.6530120653803
"100",532201,"ระนอง","ละอุ่นเหนือ","ละอุ่น","ระนอง",9.95,98.63,83.1790768200248,17.6311258532459
"101",551201,"สุราษฎร์ธานี","กะเปา","คีรีรัฐนิคม","สุราษฎร์ธานี",9.13,99.15,70.8994412778475,12.5882542847211
"102",551202,"สุราษฎร์ธานี","กะเปา","คีรีรัฐนิคม","สุราษฎร์ธานี",9.3,98.91,71.6080381876314,12.8319978811711
"103",551203,"เกาะสมุย","มะเร็ต","เกาะสมุย","สุราษฎร์ธานี",9.45,100.03,69.6566637416855,14.7833976464941
"104",551301,"สุราษฎร์ธานี","อรัญคามวารี","เคียนซา","สุราษฎร์ธานี",9.14,99.63,71.4754271970596,15.2416747606184
"105",551401,"พระแสง (2)","ไทรขึง","พระแสง","สุราษฎร์ธานี",8.57,99.26,74.239553861202,9.61226085738551
"106",552201,"นครศรีธรรมราช","ขุนทะเล","ลานสะกา","นครศรีธรรมราช",8.55,99.94,73.6056780741225,17.2386635541896
"107",552202,"ขนอม","ขุนทะเล","เมืองสุราษฎร์ธานี","สุราษฎร์ธานี",8.99,99.35,72.0851499323429,17.2756319741035
"108",552301,"นครศรีธรรมราช (1)","ปากพนังฝั่งตะวันตก","ปากพนัง","นครศรีธรรมราช",8.36,100.06,71.5432011825518,15.837997701598
"109",552401,"ฉวาง (2)","สวนขัน","กิ่ง อ. ช้างกลาง","นครศรีธรรมราช",8.43,99.5,75.1530741084119,10.4854905850915
"110",560301,"พัทลุง","อ่างทอง","เมืองพัทลุง","พัทลุง",7.58,100.16,68.5115018848849,14.5720670047792
"111",561201,"ตะกั่วป่า","เหมาะ","กะปง","พังงา",8.68,98.25,79.5707530491697,17.6803411544435
"112",564201,"ภูเก็ต","วิชิต","เมืองภูเก็ต","ภูเก็ต",7.88,98.39,75.5665884688808,12.6085982653658
"113",564202,"สนามบินภูเก็ต","ป่าคลอก","ถลาง","ภูเก็ต",8.1,98.31,76.3231692478579,14.1656776967735
